"Series";"Time";"Value"
"Solar Irradiance";"2022-02-05T05:09:00+03:00";107.37500038147002
"Solar Irradiance";"2022-02-05T05:09:20+03:00";105.75499992370601
"Solar Irradiance";"2022-02-05T05:09:40+03:00";103.905000305176
"Solar Irradiance";"2022-02-05T05:10:00+03:00";101.830000686646
"Solar Irradiance";"2022-02-05T05:10:20+03:00";99.52000007629388
"Solar Irradiance";"2022-02-05T05:10:40+03:00";97.48500022888184
"Solar Irradiance";"2022-02-05T05:11:00+03:00";96.29999885559074
"Solar Irradiance";"2022-02-05T05:11:20+03:00";96.5750007629395
"Solar Irradiance";"2022-02-05T05:11:40+03:00";97.82000007629395
"Solar Irradiance";"2022-02-05T05:12:00+03:00";99.89000015258787
"Solar Irradiance";"2022-02-05T05:12:20+03:00";102.390000534058
"Solar Irradiance";"2022-02-05T05:12:40+03:00";104.980000305176
"Solar Irradiance";"2022-02-05T05:13:00+03:00";107.63999977111799
"Solar Irradiance";"2022-02-05T05:13:20+03:00";110.084999084472
"Solar Irradiance";"2022-02-05T05:13:40+03:00";112.22499999999998
"Solar Irradiance";"2022-02-05T05:14:00+03:00";113.77499961853002
"Solar Irradiance";"2022-02-05T05:14:20+03:00";114.825
"Solar Irradiance";"2022-02-05T05:14:40+03:00";115.45000038147
"Solar Irradiance";"2022-02-05T05:15:00+03:00";115.75000076294
"Solar Irradiance";"2022-02-05T05:15:20+03:00";115.935000991822
"Solar Irradiance";"2022-02-05T05:15:40+03:00";116.15999908447202
"Solar Irradiance";"2022-02-05T05:16:00+03:00";116.49500007629396
"Solar Irradiance";"2022-02-05T05:16:20+03:00";116.66999931335401
"Solar Irradiance";"2022-02-05T05:16:40+03:00";116.10000038147
"Solar Irradiance";"2022-02-05T05:17:00+03:00";115.015000152588
"Solar Irradiance";"2022-02-05T05:17:20+03:00";113.12999992370598
"Solar Irradiance";"2022-02-05T05:17:40+03:00";110.85000038147
"Solar Irradiance";"2022-02-05T05:18:00+03:00";108.74000015258801
"Solar Irradiance";"2022-02-05T05:18:20+03:00";106.910000228882
"Solar Irradiance";"2022-02-05T05:18:40+03:00";105.065000915528
"Solar Irradiance";"2022-02-05T05:19:00+03:00";103.379999542236
"Solar Irradiance";"2022-02-05T05:19:20+03:00";102.26499977111801
"Solar Irradiance";"2022-02-05T05:19:40+03:00";101.23999977111798
"Solar Irradiance";"2022-02-05T05:20:00+03:00";99.71500015258769
"Solar Irradiance";"2022-02-05T05:20:20+03:00";97.48499946594235
"Solar Irradiance";"2022-02-05T05:20:40+03:00";94.44500007629395
"Solar Irradiance";"2022-02-05T05:21:00+03:00";90.86500053405766
"Solar Irradiance";"2022-02-05T05:21:20+03:00";87.81000022888185
"Solar Irradiance";"2022-02-05T05:21:40+03:00";85.77000007629395
"Solar Irradiance";"2022-02-05T05:22:00+03:00";84.1550003051758
"Solar Irradiance";"2022-02-05T05:22:20+03:00";82.21499977111816
"Solar Irradiance";"2022-02-05T05:22:40+03:00";79.87000007629396
"Solar Irradiance";"2022-02-05T05:23:00+03:00";76.88500061035161
"Solar Irradiance";"2022-02-05T05:23:20+03:00";73.39000015258789
"Solar Irradiance";"2022-02-05T05:23:40+03:00";69.40999946594235
"Solar Irradiance";"2022-02-05T05:24:00+03:00";65.05999946594235
"Solar Irradiance";"2022-02-05T05:24:20+03:00";61.15000000000005
"Solar Irradiance";"2022-02-05T05:24:40+03:00";58.22000007629394
"Solar Irradiance";"2022-02-05T05:25:00+03:00";55.9349998474122
"Solar Irradiance";"2022-02-05T05:25:20+03:00";54.200000190734855
"Solar Irradiance";"2022-02-05T05:25:40+03:00";52.92500000000005
"Solar Irradiance";"2022-02-05T05:26:00+03:00";51.93999996185305
"Solar Irradiance";"2022-02-05T05:26:20+03:00";44.59500007629395
"Solar Irradiance";"2022-02-05T05:26:40+03:00";50.50500011444085
"Solar Irradiance";"2022-02-05T05:27:00+03:00";50.2049995422363
"Solar Irradiance";"2022-02-05T05:27:20+03:00";50.30500011444095
"Solar Irradiance";"2022-02-05T05:27:40+03:00";51.2200000762939
"Solar Irradiance";"2022-02-05T05:28:00+03:00";52.9149997711182
"Solar Irradiance";"2022-02-05T05:28:20+03:00";55.359999847412155
"Solar Irradiance";"2022-02-05T05:28:40+03:00";58.60999984741204
"Solar Irradiance";"2022-02-05T05:29:00+03:00";62.43999996185299
"Solar Irradiance";"2022-02-05T05:29:20+03:00";66.42499999999998
"Solar Irradiance";"2022-02-05T05:29:40+03:00";69.57500038146975
"Solar Irradiance";"2022-02-05T05:30:00+03:00";70.89500083923345
"Solar Irradiance";"2022-02-05T05:30:20+03:00";69.71500015258789
"Solar Irradiance";"2022-02-05T05:30:40+03:00";67.80499992370605
"Solar Irradiance";"2022-02-05T05:31:00+03:00";66.25500030517581
"Solar Irradiance";"2022-02-05T05:31:20+03:00";64.8000007629395
"Solar Irradiance";"2022-02-05T05:31:40+03:00";63.5299999237061
"Solar Irradiance";"2022-02-05T05:32:00+03:00";62.48999938964855
"Solar Irradiance";"2022-02-05T05:32:20+03:00";61.80000000000001
"Solar Irradiance";"2022-02-05T05:32:40+03:00";60.83999938964845
"Solar Irradiance";"2022-02-05T05:33:00+03:00";60.02500019073491
"Solar Irradiance";"2022-02-05T05:33:20+03:00";59.26499977111814
"Solar Irradiance";"2022-02-05T05:33:40+03:00";58.9250005722047
"Solar Irradiance";"2022-02-05T05:34:00+03:00";58.85000057220469
"Solar Irradiance";"2022-02-05T05:34:20+03:00";59.0105259543971
"Solar Irradiance";"2022-02-05T05:34:40+03:00";59.264999961853036
"Solar Irradiance";"2022-02-05T05:35:00+03:00";59.84500007629394
"Solar Irradiance";"2022-02-05T05:35:20+03:00";61.030000114440895
"Solar Irradiance";"2022-02-05T05:35:40+03:00";63.1049999237061
"Solar Irradiance";"2022-02-05T05:36:00+03:00";66.20999946594235
"Solar Irradiance";"2022-02-05T05:36:20+03:00";70.50499992370604
"Solar Irradiance";"2022-02-05T05:36:40+03:00";76.18999977111812
"Solar Irradiance";"2022-02-05T05:37:00+03:00";83.21000061035161
"Solar Irradiance";"2022-02-05T05:37:20+03:00";91.09000053405767
"Solar Irradiance";"2022-02-05T05:37:40+03:00";99.93499870300238
"Solar Irradiance";"2022-02-05T05:38:00+03:00";109.49000015258802
"Solar Irradiance";"2022-02-05T05:38:20+03:00";117.87500076294
"Solar Irradiance";"2022-02-05T05:38:40+03:00";125.04000015258801
"Solar Irradiance";"2022-02-05T05:39:00+03:00";131.04999847412
"Solar Irradiance";"2022-02-05T05:39:20+03:00";136.864998626708
"Solar Irradiance";"2022-02-05T05:39:40+03:00";143.88499984741196
"Solar Irradiance";"2022-02-05T05:40:00+03:00";152.385000610352
"Solar Irradiance";"2022-02-05T05:40:20+03:00";162.84499969482397
"Solar Irradiance";"2022-02-05T05:40:40+03:00";175.40000152588001
"Solar Irradiance";"2022-02-05T05:41:00+03:00";189.29500122070402
"Solar Irradiance";"2022-02-05T05:41:20+03:00";203.67499923705998
"Solar Irradiance";"2022-02-05T05:41:40+03:00";216.969999694824
"Solar Irradiance";"2022-02-05T05:42:00+03:00";227.01000137329203
"Solar Irradiance";"2022-02-05T05:42:20+03:00";232.33999938964797
